symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
CUAN,2025-09-02,,,,,,,,,,,0,,,,,,,,
CYBR,2025-09-02,,,,,,,,,,,0,,,,,,,,
DAAZ,2025-09-02,,,,,,,,,,,0,,,,,,,,
DADA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DART,2025-09-02,,,,,,,,,,,0,,,,,,,,
DATA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DAYA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DCII,2025-09-02,,,,,,,,,,,0,,,,,,,,
DEAL,2025-09-02,,,,,,,,,,,0,,,,,,,,
DEFI,2025-09-02,,,,,,,,,,,0,,,,,,,,
DEPO,2025-09-02,,,,,,,,,,,0,,,,,,,,
DEWA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DEWI,2025-09-02,,,,,,,,,,,0,,,,,,,,
DFAM,2025-09-02,,,,,,,,,,,0,,,,,,,,
DGIK,2025-09-02,,,,,,,,,,,0,,,,,,,,
DGNS,2025-09-02,,,,,,,,,,,0,,,,,,,,
DGWG,2025-09-02,,,,,,,,,,,0,,,,,,,,
DIGI,2025-09-02,,,,,,,,,,,0,,,,,,,,
DILD,2025-09-02,,,,,,,,,,,0,,,,,,,,
DIVA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DKFT,2025-09-02,,,,,,,,,,,0,,,,,,,,
DKHH,2025-09-02,,,,,,,,,,,0,,,,,,,,
DLTA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DMAS,2025-09-02,,,,,,,,,,,0,,,,,,,,
DMMX,2025-09-02,,,,,,,,,,,0,,,,,,,,
DMND,2025-09-02,,,,,,,,,,,0,,,,,,,,
DNAR,2025-09-02,,,,,,,,,,,0,,,,,,,,
DNET,2025-09-02,,,,,,,,,,,0,,,,,,,,
