symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
PSSI,2025-09-04,354.0,216900.0,0.005681818181818121,0.11609484558154472,,,,1.0,,,1,XC,0.5276999377698995,27983400.0,0.0,7.0,9.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTBA,2025-09-04,2410.0,12386800.0,-0.004132231404958664,1.1984133126934984,,,,1.0,,,0,CC,0.1571663586092539,2582813000.0,-3623747000.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTDU,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PTIS,2025-09-04,416.0,58100.0,0.02970297029702973,0.5074235807860262,,,,1.0,,,1,YP,0.7504218519299726,8538600.0,0.0,5.0,6.0,11.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTMP,2025-09-04,96.0,11532800.0,-0.030303030303030276,0.8772024567875412,,,,1.0,,,1,XC,0.2759163769911498,84828200.0,-53296900.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTMR,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PTPP,2025-09-04,404.0,28717000.0,0.0,0.3931778165398381,,,,1.0,,,1,ZP,0.350190389439225,1236696800.0,498709600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTPS,2025-09-04,173.0,11942600.0,-0.028089887640449396,0.8144079268147147,,,,1.0,,,1,YP,0.300938934335003,264040300.0,-33800300.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTPW,2025-09-04,950.0,34200.0,0.0,1.0788643533123028,,,,1.0,,,0,IH,0.2214135301453601,5415000.0,0.0,8.0,4.0,12.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTRO,2025-09-04,3690.0,22053000.0,-0.002702702702702675,1.1297874956454026,,,,1.0,,,0,AZ,0.2304621775236489,7153481000.0,-986311000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PTSN,2025-09-04,472.0,8093600.0,-0.07450980392156858,0.42473046334852554,,,,1.0,,,1,OD,0.1825422093017439,156929000.0,-48401600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
