date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-08-29,CUAN,-16083608500.0,BK,0.42566733133567736,26251902000.0,10,10,20,0.15
2025-08-29,CYBR,90604500.0,TP,0.8586954557934354,2148363500.0,10,10,20,0.2
2025-08-29,DAAZ,9365000.0,YU,0.7812195268765425,163394000.0,10,10,20,0.25
2025-08-29,DADA,576000.0,nan,0.9990494296577946,59082000.0,3,10,13,0.3076923076923077
2025-08-29,DART,0.0,KK,0.744127891399482,656000.0,6,3,9,0.3333333333333333
2025-08-29,DAYA,0.0,YP,0.8288307893182454,7601000.0,5,5,10,0.5
2025-08-29,DCII,0.0,XL,0.5450889147415655,102612500.0,7,7,14,0.2857142857142857
2025-08-29,DEFI,0.0,DR,0.7053962707301006,12960000.0,5,3,8,0.625
2025-08-29,DEPO,-59300.0,PD,0.7566989366942871,17541500.0,10,6,16,0.3125
2025-08-29,DEWA,1036885000.0,LG,0.6032960770049468,11038230200.0,10,10,20,0.2
2025-08-29,DEWI,29828100.0,XA,0.8404911122579285,2798435000.0,10,10,20,0.2
2025-08-29,DFAM,13804700.0,XC,0.5233093468608675,65262300.0,10,10,20,0.25
2025-08-29,DGIK,-59781200.0,AO,0.3828568785336373,56906900.0,10,10,20,0.15
2025-08-29,DGNS,-3187400.0,YP,0.6392280825318922,52492600.0,10,8,18,0.2777777777777778
2025-08-29,DIGI,-25900.0,XL,0.7618590553169993,63499400.0,10,10,20,0.25
2025-08-29,DILD,105492600.0,YU,0.5541539398552937,490951000.0,10,10,20,0.2
2025-08-29,DIVA,853000.0,YP,0.7789359618729372,115578700.0,10,10,20,0.25
2025-08-29,DKFT,702923000.0,SQ,0.7680165122937561,7066654500.0,10,10,20,0.25
2025-08-29,DLTA,0.0,SQ,0.9062265846512311,100437500.0,5,6,11,0.36363636363636365
2025-08-29,DMAS,-61276600.0,XL,0.5312591963926854,1692700700.0,10,10,20,0.25
2025-08-29,DMMX,-62718800.0,YP,0.4266460460240689,148183000.0,10,6,16,0.1875
2025-08-29,DMND,0.0,PD,0.6962924907954449,20877000.0,8,7,15,0.3333333333333333
2025-08-29,DNAR,-15229400.0,DR,0.5345868169899982,121195400.0,10,10,20,0.25
2025-08-29,DNET,-292500.0,RB,0.7655604034956051,273510000.0,10,10,20,0.25
2025-08-29,DOID,-116736200.0,SQ,0.5648991538382938,638039200.0,10,10,20,0.25
2025-08-29,DOOH,-137405000.0,YB,0.45739441371440026,1310868800.0,10,10,20,0.3
2025-08-29,DOSS,-219900.0,CP,0.6577318702135019,42561100.0,10,10,20,0.25
2025-08-29,DPNS,0.0,KK,0.710711465711289,7252400.0,6,6,12,0.25
2025-08-29,DPUM,-1062000.0,YP,0.6521268529570938,56016100.0,10,10,20,0.25
2025-08-29,DRMA,-20715500.0,BK,0.640198688636542,358628000.0,10,9,19,0.2631578947368421
2025-08-29,DSFI,13996500.0,CC,0.49776373917843053,164723100.0,10,10,20,0.2
2025-08-29,DSNG,-90785500.0,BK,0.6644328971494087,8671118500.0,10,10,20,0.2
2025-08-29,DSSA,6382325000.0,AK,0.6031010384334617,106216727500.0,10,10,20,0.3
2025-08-29,DUTI,5053000.0,CC,0.4629543046468995,73531000.0,10,10,20,0.3
2025-08-29,DVLA,0.0,LG,0.9485046894354981,33500000.0,4,8,12,0.4166666666666667
2025-08-29,DWGL,-90200.0,NI,0.821038087228163,54108200.0,10,7,17,0.29411764705882354
2025-08-29,DYAN,-1538100.0,EP,0.6455167295730346,60634000.0,10,10,20,0.25
2025-08-29,EAST,174100.0,XL,0.7395552731893266,85796700.0,10,10,20,0.25
2025-08-29,ECII,-71400.0,PD,0.6254234305095941,21405800.0,10,10,20,0.2
2025-08-29,EDGE,0.0,YP,0.7145167204114058,84356000.0,10,10,20,0.25
2025-08-29,EKAD,0.0,YP,0.7571821300458967,10325600.0,8,8,16,0.3125
2025-08-29,ELIT,145028600.0,PD,0.5796335101108093,593172000.0,10,10,20,0.25
2025-08-29,ELPI,8483000.0,BR,0.8831891333267612,296228800.0,9,10,19,0.2631578947368421
2025-08-29,ELSA,556515800.0,AK,0.6150941040033443,3197782400.0,10,10,20,0.25
2025-08-29,ELTY,172514400.0,YB,0.7390503219530706,1034932800.0,7,10,17,0.17647058823529413
2025-08-29,EMDE,-4699100.0,CC,0.5567294388741005,76689100.0,10,7,17,0.29411764705882354
2025-08-29,EMTK,11948901000.0,AZ,0.4784174597357424,24761680000.0,10,10,20,0.2
2025-08-29,ENAK,-64806500.0,RG,0.41634164686438246,123300000.0,10,10,20,0.1
2025-08-29,ENRG,-2557791500.0,PD,0.3155493781014985,2207452500.0,10,10,20,0.25
2025-08-29,ENZO,0.0,PD,0.5852417302798982,7403700.0,9,3,12,0.3333333333333333
2025-08-29,EPAC,163200.0,YU,0.7715536326489304,122699200.0,10,10,20,0.25
2025-08-29,EPMT,0.0,YP,0.6312633832976445,42896000.0,7,7,14,0.35714285714285715
2025-08-29,ERAA,-1464623600.0,LG,0.4778348483823764,6162830200.0,10,10,20,0.25
2025-08-29,ERAL,-40734800.0,AO,0.3971070669555574,640400000.0,10,10,20,0.25
2025-08-29,ERTX,-617900.0,YP,0.7638461772326748,84798200.0,10,10,20,0.25
2025-08-29,ESIP,567000.0,XL,0.8147592100704469,66555000.0,8,10,18,0.2777777777777778
2025-08-29,ESSA,-1219796500.0,SQ,0.3453185618815066,1614894500.0,10,10,20,0.3
2025-08-29,ESTA,-831800.0,SH,0.44941887852548457,14069200.0,10,6,16,0.3125
2025-08-29,ESTI,0.0,PC,0.8481641204239052,4940000.0,8,5,13,0.38461538461538464
2025-08-29,EURO,0.0,CC,0.9631243652478996,6200000.0,4,7,11,0.2727272727272727
2025-08-29,EXCL,1314386000.0,SS,0.8419512701755318,16646304000.0,10,10,20,0.25
2025-08-29,FAPA,0.0,AN,0.9372740558418583,56820000.0,3,4,7,0.42857142857142855
2025-08-29,FAST,74092200.0,YP,0.5940354942159414,464900600.0,10,10,20,0.25
2025-08-29,FILM,3145116000.0,IF,0.8949174623641827,18961565000.0,10,10,20,0.2
2025-08-29,FIRE,15392400.0,CP,0.504240347154554,316379000.0,10,10,20,0.25
2025-08-29,FITT,9416400.0,SQ,0.8097824126710315,246393200.0,10,10,20,0.25
2025-08-29,FLMC,31408800.0,XL,0.6699586935320027,404316600.0,10,10,20,0.2
2025-08-29,FMII,0.0,XC,0.9136011401086666,3310800.0,5,4,9,0.4444444444444444
2025-08-29,FOLK,3380200.0,XA,0.7194166453607996,148470900.0,8,10,18,0.2777777777777778
