symbol,date,close,volume,source_date
IPOL,2025-09-05,139.0,25100.0,2025-09-04
IPPE,2025-09-05,,,2025-09-05
IPTV,2025-09-05,42.0,11248500.0,2025-09-04
IRRA,2025-09-05,426.0,540000.0,2025-09-04
IRSX,2025-09-05,,,2025-09-05
ISAP,2025-09-05,36.0,4677900.0,2025-09-04
ISAT,2025-09-05,1965.0,7376500.0,2025-09-04
ISEA,2025-09-05,92.0,311116700.0,2025-09-04
ISSP,2025-09-05,414.0,2048200.0,2025-09-04
ITIC,2025-09-05,224.0,743400.0,2025-09-04
ITMA,2025-09-05,1090.0,2114700.0,2025-09-04
ITMG,2025-09-05,22350.0,1016800.0,2025-09-04
JARR,2025-09-05,,,2025-09-05
JAST,2025-09-05,103.0,4680100.0,2025-09-04
JATI,2025-09-05,139.0,2881500.0,2025-09-04
JAWA,2025-09-05,148.0,2241600.0,2025-09-04
JAYA,2025-09-05,96.0,426700.0,2025-09-04
JECC,2025-09-05,1150.0,188100.0,2025-09-04
JGLE,2025-09-05,16.0,80002500.0,2025-09-04
JIHD,2025-09-05,690.0,1277600.0,2025-09-04
JKON,2025-09-05,93.0,32980200.0,2025-09-04
JMAS,2025-09-05,148.0,184100.0,2025-09-04
JPFA,2025-09-05,1760.0,109803400.0,2025-09-04
JRPT,2025-09-05,805.0,253300.0,2025-09-04
JSKY,2025-09-05,,,2025-09-05
JSMR,2025-09-05,3430.0,3139200.0,2025-09-04
JSPT,2025-09-05,3990.0,7900.0,2025-09-04
JTPE,2025-09-05,326.0,4912900.0,2025-09-04
KAEF,2025-09-05,505.0,444700.0,2025-09-04
KAQI,2025-09-05,,,2025-09-05
KARW,2025-09-05,640.0,216300.0,2025-09-04
KAYU,2025-09-05,,,2025-09-05
KBAG,2025-09-05,42.0,6070900.0,2025-09-04
KBLI,2025-09-05,378.0,47100.0,2025-09-04
KBLM,2025-09-05,388.0,264200.0,2025-09-04
KBLV,2025-09-05,220.0,87975600.0,2025-09-04
KBRI,2025-09-05,,,2025-09-05
KDSI,2025-09-05,474.0,7700.0,2025-09-04
KDTN,2025-09-05,118.0,68300.0,2025-09-04
KEEN,2025-09-05,835.0,2797100.0,2025-09-04
KEJU,2025-09-05,600.0,966300.0,2025-09-04
