symbol,date,close,volume
NCKL,2025-09-02,,
NELY,2025-09-02,,
NEST,2025-09-02,,
NETV,2025-09-02,,
NFCX,2025-09-02,,
NICE,2025-09-02,,
NICK,2025-09-02,,
NICL,2025-09-02,,
NIKL,2025-09-02,,
NINE,2025-09-02,,
NIRO,2025-09-02,,
NISP,2025-09-02,,
NOBU,2025-09-02,,
NPGF,2025-09-02,,
NRCA,2025-09-02,,
NSSS,2025-09-02,,
NTBK,2025-09-02,,
NUSA,2025-09-02,,
NZIA,2025-09-02,,
OASA,2025-09-02,,
OBAT,2025-09-02,,
OBMD,2025-09-02,,
OCAP,2025-09-02,,
OILS,2025-09-02,,
OKAS,2025-09-02,,
OLIV,2025-09-02,,
OMED,2025-09-02,,
OMRE,2025-09-02,,
OPMS,2025-09-02,,
PACK,2025-09-02,,
PADA,2025-09-02,,
PADI,2025-09-02,,
PALM,2025-09-02,,
PAMG,2025-09-02,,
PANI,2025-09-02,,
PANR,2025-09-02,,
PANS,2025-09-02,,
PART,2025-09-02,,
PBID,2025-09-02,,
PBRX,2025-09-02,,
PBSA,2025-09-02,,
PCAR,2025-09-02,,
PDES,2025-09-02,,
PDPP,2025-09-02,,
PEGE,2025-09-02,,
PEHA,2025-09-02,,
PEVE,2025-09-02,,
PGAS,2025-09-02,,
PGEO,2025-09-02,,
PGJO,2025-09-02,,
PGLI,2025-09-02,,
PGUN,2025-09-02,,
PICO,2025-09-02,,
PIPA,2025-09-02,,
PJAA,2025-09-02,,
PKPK,2025-09-02,,
PLAN,2025-09-02,,
PLAS,2025-09-02,,
PLIN,2025-09-02,,
PMJS,2025-09-02,,
PMMP,2025-09-02,,
PMUI,2025-09-02,,
PNBN,2025-09-02,,
PNBS,2025-09-02,,
PNGO,2025-09-02,,
PNIN,2025-09-02,,
PNLF,2025-09-02,,
PNSE,2025-09-02,,
POLA,2025-09-02,,
POLI,2025-09-02,,
POLL,2025-09-02,,
POLU,2025-09-02,,
POLY,2025-09-02,,
POOL,2025-09-02,,
PORT,2025-09-02,,
POSA,2025-09-02,,
POWR,2025-09-02,,
PPGL,2025-09-02,,
PPRE,2025-09-02,,
PPRI,2025-09-02,,
PPRO,2025-09-02,,
PRAY,2025-09-02,,
PRDA,2025-09-02,,
PRIM,2025-09-02,,
PSAB,2025-09-02,,
PSAT,2025-09-02,,
PSDN,2025-09-02,,
PSGO,2025-09-02,,
PSKT,2025-09-02,,
PSSI,2025-09-02,,
PTBA,2025-09-02,,
PTDU,2025-09-02,,
PTIS,2025-09-02,,
PTMP,2025-09-02,,
PTMR,2025-09-02,,
PTPP,2025-09-02,,
PTPS,2025-09-02,,
PTPW,2025-09-02,,
PTRO,2025-09-02,,
PTSN,2025-09-02,,
PTSP,2025-09-02,,
PUDP,2025-09-02,,
PURA,2025-09-02,,
PURE,2025-09-02,,
PURI,2025-09-02,,
PWON,2025-09-02,,
PYFA,2025-09-02,,
PZZA,2025-09-02,,
RAAM,2025-09-02,,
RAFI,2025-09-02,,
RAJA,2025-09-02,,
RALS,2025-09-02,,
RANC,2025-09-02,,
RATU,2025-09-02,,
RBMS,2025-09-02,,
RCCC,2025-09-02,,
RDTX,2025-09-02,,
REAL,2025-09-02,,
RELF,2025-09-02,,
RELI,2025-09-02,,
RGAS,2025-09-02,,
RICY,2025-09-02,,
RIGS,2025-09-02,,
RIMO,2025-09-02,,
RISE,2025-09-02,,
RMKE,2025-09-02,,
RMKO,2025-09-02,,
ROCK,2025-09-02,,
RODA,2025-09-02,,
RONY,2025-09-02,,
ROTI,2025-09-02,,
RSCH,2025-09-02,,
RSGK,2025-09-02,,
RUIS,2025-09-02,,
RUNS,2025-09-02,,
SAFE,2025-09-02,,
SAGE,2025-09-02,,
SAME,2025-09-02,,
SAMF,2025-09-02,,
SAPX,2025-09-02,,
SATU,2025-09-02,,
SBAT,2025-09-02,,
SBMA,2025-09-02,,
SCCO,2025-09-02,,
SCMA,2025-09-02,,
SCNP,2025-09-02,,
SCPI,2025-09-02,,
SDMU,2025-09-02,,
SDPC,2025-09-02,,
SDRA,2025-09-02,,
SEMA,2025-09-02,,
SFAN,2025-09-02,,
SGER,2025-09-02,,
SGRO,2025-09-02,,
SHID,2025-09-02,,
SHIP,2025-09-02,,
SICO,2025-09-02,,
SIDO,2025-09-02,,
SILO,2025-09-02,,
SIMA,2025-09-02,,
SIMP,2025-09-02,,
SINI,2025-09-02,,
SIPD,2025-09-02,,
SKBM,2025-09-02,,
SKLT,2025-09-02,,
SKRN,2025-09-02,,
SKYB,2025-09-02,,
SLIS,2025-09-02,,
